,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10325,33473016,Excelente residencia en un barrio emblemático,252198954,Sergio,,Boedo,-34.62337,-58.41727,Shared room,960,10,0,,,1,364,0,
10326,33474152,Confortable room in beautiful Belgrano,142061608,Lau,,Belgrano,-34.55496,-58.43966,Private room,1924,3,3,2019-09-28,0.12,1,88,0,
10327,33474503,APARTMENT - San Martin PLAZA,252219697,Mariana,,Retiro,-34.5925,-58.37632,Entire home/apt,2886,2,22,2019-12-27,0.79,1,7,0,
10328,33486186,Rafa’s,28003078,Rafael,,Palermo,-34.58033,-58.43891,Private room,1415,1,4,2019-06-05,0.15,2,76,0,
10329,33486376,"Departamento nuevo Premium, con  Amenities",13070420,Gabriela,,Nuñez,-34.55253,-58.4695,Entire home/apt,2886,2,8,2020-01-14,0.29,1,179,0,
10330,33487180,"Cozy apartment in Palermo, Las Cañitas.",252331686,Menia,,Palermo,-34.56883,-58.43627,Private room,2405,1,0,,,1,365,0,
10331,33488814,BUENOS AIRES COZY & LUMINOUS Studio Nuñez Belgrano,224836055,Laura,,Nuñez,-34.55427,-58.46025,Entire home/apt,1800,7,2,2019-04-18,0.08,1,321,0,
10332,33490275,Espectacular departamento en av del libertador,49692772,Ariadna,,Belgrano,-34.55953,-58.44659,Entire home/apt,4714,6,24,2019-06-15,0.87,1,44,5,
10333,33490973,Amplio y confortable ph en Saavedra,1814724,Irene,,Saavedra,-34.54003,-58.47575,Entire home/apt,2886,3,2,2021-04-20,0.79,1,364,2,
10334,33491242,Familia Sagrada,169391909,Jenni,,Villa Real,-34.62493,-58.53089,Private room,960,1,0,,,1,365,0,
10335,33491668,Amazing Studio in Recoleta,39604310,Carla,,Recoleta,-34.59354,-58.40982,Entire home/apt,1539,3,31,2019-12-01,1.24,1,199,0,
10336,33493321,"MarceloT, excelente ubicación!",164568443,Rocio,,Recoleta,-34.59644,-58.39154,Entire home/apt,1200,3,0,,,1,88,0,
10337,33494747,PASARLO MUY BIEN EN BUENOS AIRES,252401075,Raquel,,Villa Crespo,-34.59697,-58.44322,Entire home/apt,2500,3,5,2020-01-05,0.18,1,362,0,
10338,33496074,Buenos Días Buenos Aires I,244765285,Joaquín,,Palermo,-34.58222,-58.42467,Entire home/apt,5195,1,0,,,3,365,0,
10339,33496515,Buenos Días Buenos Aires III,244765285,Joaquín,,Palermo,-34.58079,-58.42594,Entire home/apt,4137,1,0,,,3,365,0,
10340,33496701,Monoambiente Premium en Palermo.,193850348,Analia,,Palermo,-34.58511,-58.42427,Entire home/apt,2598,1,102,2020-03-19,4.3,2,262,27,
10341,33496750,Cozy apartment in Palermo. Full amenities building,1028764,Cecilia,,Palermo,-34.57845,-58.43866,Entire home/apt,5292,1,0,,,86,180,0,
10342,33496753,Departamento La Boca,252423099,Roxana,,Boca,-34.6305,-58.36328,Entire home/apt,1400,4,0,,,1,90,0,
10343,33497280,Depto Rodríguez peña y arenales!,252429074,Ileana,,Recoleta,-34.5934,-58.39107,Entire home/apt,7000,2,3,2019-04-02,0.11,1,363,0,
10344,33512221,Depto con Terraza enorme cama matrimonial en Nuñez,44168030,Dana,,Nuñez,-34.55113,-58.45633,Entire home/apt,3380,3,5,2019-12-09,0.18,44,365,0,
10345,33514024,HOSTEL SANTA MARIA,252548026,Aircraft,,Palermo,-34.58456,-58.43468,Shared room,960,1,2,2019-12-01,0.07,1,365,0,
